PERMIT_NUMBER,NAICS_CODE,NAICS_DESC,SIC_CODE,SIC_DESC
MD0000027,,,3255,Clay Refractories
MD0000035,,,2033,Canned Fruits And Vegetables
MD0000043,,,2033,Canned Fruits And Vegetables
MD0000060,,,2048,Prepared Feeds
MD0000078,,,3764,Space Propulsion Units And Parts
MD0000086,,,2037,Frozen Fruits And Vegetables
MD0000094,,,4911,Electric Services
MD0000108,,,2033,Canned Fruits And Vegetables
MD0000124,,,2813,Industrial Gases
MD0000167,,,3295,"Minerals, Ground Or Treated"
MD0000175,,,1422,Crushed And Broken Limestone
MD0000183,,,3281,Cut Stone And Stone Products
MD0000191,,,3273,Ready-Mixed Concrete
MD0000205,,,3273,Ready-Mixed Concrete
MD0000213,,,1422,Crushed And Broken Limestone
MD0000221,,,4011,"Railroads, Line-Haul Operating"
MD0000264,,,4011,"Railroads, Line-Haul Operating"
MD0000272,,,3255,Clay Refractories
MD0000299,,,2879,Agricultural Chemicals
MD0000311,,,2819,Industrial Inorganic Chemicals
MD0000337,,,3011,Tires And Inner Tubes
MD0000345,,,2869,Industrial Organic Chemicals
MD0000388,,,2911,Petroleum Refining
MD0000396,,,5171,Petroleum Bulk Stations & Terminals
MD0000400,,,5171,Petroleum Bulk Stations & Terminals
MD0000418,,,3446,Architectural Metal Work
MD0000426,,,2819,Industrial Inorganic Chemicals
MD0000451,,,0254,Poultry Hatcheries
MD0000469,,,2023,"Dry, Condensed, Evaporated Products"
MD0000477,,,3334,Primary Aluminum
MD0000507,,,3331,Primary Copper
MD0000523,,,2653,Corrugated And Solid Fiber Boxes
MD0000531,,,2819,Industrial Inorganic Chemicals
MD0000540,,,2841,Soap And Other Detergents
MD0000574,,,2033,Canned Fruits And Vegetables
MD0000582,,,4911,Electric Services
MD0000604,,,5172,Petroleum Products
MD0000612,,,5172,Petroleum Products
MD0000655,,,2435,Hardwood Veneer And Plywood
MD0000736,,,5171,Petroleum Bulk Stations & Terminals
MD0000744,,,5171,Petroleum Bulk Stations & Terminals
MD0000761,,,3295,"Minerals, Ground Or Treated"
MD0000779,,,3241,"Cement, Hydraulic"
MD0000809,,,2092,Fresh Or Frozen Prepared Fish
MD0000841,,,3612,"Transformers, Except Electronic"
MD0000850,,,3674,Semiconductors And Related Devices
MD0000868,,,3812,Search And Navigation Equipment
MD0000876,,,1429,Crushed And Broken Stone
MD0000884,,,3273,Ready-Mixed Concrete
MD0000914,,,3255,Clay Refractories
MD0000965,,,2015,Poultry Slaughtering And Processing
MD0000981,,,3312,Blast Furnaces And Steel Mills
MD0000990,,,2851,Paints And Allied Products
MD0001007,,,3089,Plastics Products
MD0001015,,,2819,Industrial Inorganic Chemicals
MD0001082,,,5171,Petroleum Bulk Stations & Terminals
MD0001091,,,2077,Animal And Marine Fats And Oils
MD0001155,,,3631,Household Cooking Equipment
MD0001163,,,3711,Motor Vehicles And Car Bodies
MD0001180,,,3731,Ship Building And Repairing
MD0001198,,,3731,Ship Building And Repairing
MD0001201,,,3312,Blast Furnaces And Steel Mills
MD0001210,,,3398,Metal Heat Treating
MD0001252,,,2899,Chemical Preparations
MD0001261,,,2816,Inorganic Pigments
